 id  |                           concept_name                           | category_id | category_name | parent_cat |          redcap_element          |                 Form Name                 
-----+------------------------------------------------------------------+-------------+---------------+------------+----------------------------------+-------------------------------------------
   3 | Record                                                           |             |               |            | record                           | section_a_demographic_information
 106 | Stopped Smiling-Onset Age                                        |             |               |            | d_stopped_smiling_age            | section_d_symptoms
 107 | Stopped Smiling-Comments                                         |             |               |            | d_stopped_smiling_comments       | section_d_symptoms
 109 | Fisted Hand-Onset Age                                            |             |               |            | d_fisted_hand_age                | section_d_symptoms
 110 | Fisted Hand-Comments                                             |             |               |            | d_fisted_hand_comments           | section_d_symptoms
 111 | Poor Head Control                                                |             |               |            | d_poor_head_control              | section_d_symptoms
 112 | Poor Head Control-Onset Age                                      |             |               |            | d_poor_head_control_age          | section_d_symptoms
 113 | Poor Head Control-Comments                                       |             |               |            | d_poor_head_control_comments     | section_d_symptoms
 114 | Arching                                                          |             |               |            | d_arching                        | section_d_symptoms
 115 | Arching-Onset Age                                                |             |               |            | d_arching_age                    | section_d_symptoms
 116 | Arching-Comments                                                 |             |               |            | d_arching_comments               | section_d_symptoms
 117 | Loss Of Vision                                                   |             |               |            | d_loss_of_vision                 | section_d_symptoms
 118 | Loss Of Vision-Onset Age                                         |             |               |            | d_loss_of_vision_age             | section_d_symptoms
 119 | Loss Of Vision-Comments                                          |             |               |            | d_loss_of_vision_comments        | section_d_symptoms
 120 | Loss Of Hearing                                                  |             |               |            | d_loss_of_hearing                | section_d_symptoms
 121 | Loss Of Hearing-Onset Age                                        |             |               |            | d_loss_of_hearing_age            | section_d_symptoms
 122 | Loss Of Hearing-Comments                                         |             |               |            | d_loss_of_hearing_comments       | section_d_symptoms
 123 | Stumbling                                                        |             |               |            | d_stumbling                      | section_d_symptoms
 124 | Stumbling-Onset Age                                              |             |               |            | d_stumbling_age                  | section_d_symptoms
 125 | Stumbling-Comments                                               |             |               |            | d_stumbling_comments             | section_d_symptoms
 126 | Change In Gait                                                   |             |               |            | d_change_in_gait                 | section_d_symptoms
 127 | Change In Gait-Onset Age                                         |             |               |            | d_change_in_gait_age             | section_d_symptoms
 128 | Change In Gait-Comments                                          |             |               |            | d_change_in_gait_comments        | section_d_symptoms
 129 | Describe The Change                                              |             |               |            | d_change_description             | section_d_symptoms
 130 | Unsteady Gait                                                    |             |               |            | d_unsteady_gait                  | section_d_symptoms
 131 | Unsteady Gait-Onset Age                                          |             |               |            | d_unsteady_gait_age              | section_d_symptoms
 132 | Unsteady Gait-Comments                                           |             |               |            | d_unsteady_gait_comments         | section_d_symptoms
 133 | One-Sided Weakness (Hemiparesis)                                 |             |               |            | d_onesided_weakness              | section_d_symptoms
 134 | One-Sided Weakness (Hemiparesis)-Onset Age                       |             |               |            | d_onesided_weakness_age          | section_d_symptoms
 135 | One-Sided Weakness (Hemiparesis)-Comments                        |             |               |            | d_onesided_weakness_comments     | section_d_symptoms
 136 | Seizures                                                         |             |               |            | d_seizures                       | section_d_symptoms
 137 | Seizures-Onset Age                                               |             |               |            | d_seizures_age                   | section_d_symptoms
 138 | Seizures-Comments                                                |             |               |            | d_seizures_comments              | section_d_symptoms
 139 | Describe The Seizures                                            |             |               |            | d_seizure_description            | section_d_symptoms
 140 | Loss Of Milestones                                               |             |               |            | d_loss_of_milestones             | section_d_symptoms
